,run,Average_lifespan,Percentage_failed,Total_attempts,Usage,N,N_poles,Vision,Grid_positions,Grid_open
0,0.0,2454.1666666666665,0.24768756423432683,973.0,0.17260869565217393,125,0.18453818059746357,2,LHS,False
1,0.0,2498.783699059561,0.11024007839294464,2041.0,0.1501271186440678,318,0.18472251711247625,1,circle,True
2,0.0,2497.5361445783133,0.13935144609991235,1141.0,0.21950000000000003,165,0.1459449301491535,2,circle,False
3,0.0,2480.595744680851,0.2971281296023564,2716.0,0.21005,328,0.15478251250864,1,LHS,False
4,0.0,2492.9533898305085,0.14389799635701275,1647.0,0.21861842105263155,235,0.16108235718413913,2,circle,True
5,0.0,2484.8045112781956,0.2500795418390073,3143.0,0.2115677966101695,398,0.14966405504603397,2,LHS,True
6,0.0,2490.9861751152075,0.07492997198879552,1428.0,0.1843181818181818,216,0.2014091930053199,2,circle,False
7,0.0,2490.9103448275864,0.16682832201745879,1031.0,0.20654761904761904,144,0.1392227382071866,2,circle,False
8,0.0,2467.1575342465753,0.17352056168505517,1994.0,0.14321428571428574,291,0.2191735826607336,1,LHS,True
9,0.0,2460.925714285714,0.4402088772845953,1915.0,0.2921052631578947,174,0.111686033177422,2,LHS,False
10,0.0,2493.52734375,0.1056047197640118,1695.0,0.1509433962264151,255,0.20668350692764118,1,circle,True
11,0.0,2453.543046357616,0.3014354066985646,1254.0,0.20693181818181816,150,0.15256083495743916,2,LHS,True
12,0.0,2484.604347826087,0.17869615832363214,1718.0,0.25507812500000004,229,0.1356375267988842,2,circle,False
13,0.0,2493.8016997167138,0.22315308453922314,2626.0,0.17999999999999997,352,0.17013011145262374,1,LHS,False
14,0.0,2471.5565217391304,0.07883817427385892,1446.0,0.14061111111111113,229,0.1933301598639346,2,circle,True
15,0.0,2496.75,0.10780669144981413,1614.0,0.14296296296296296,239,0.22838425844636143,2,LHS,False
16,0.0,2481.2418300653594,0.08454810495626822,1029.0,0.12114864864864865,152,0.24141202115990074,1,circle,False
17,0.0,2496.3333333333335,0.2015810276679842,1771.0,0.17093750000000002,248,0.1612947432828314,2,LHS,False
18,0.0,2457.059171597633,0.31865828092243187,1431.0,0.19267241379310346,168,0.1778605568527588,1,LHS,True
19,0.0,2490.5891891891893,0.10091362126245847,2408.0,0.15875,369,0.187381183524878,1,circle,False
20,0.0,2431.557971014493,0.37336601307189543,1224.0,0.2239705882352941,137,0.12665321980957325,2,LHS,True
21,0.0,2491.2788732394365,0.13128729752770674,2346.0,0.21014999999999998,354,0.13859373045380202,1,circle,True
22,0.0,2493.4156976744184,0.10889712696941613,2158.0,0.17514150943396228,343,0.1535653396347151,1,circle,True
23,0.0,2491.4545454545455,0.09725315515961395,1347.0,0.14250000000000002,208,0.2114093750203911,1,circle,True
24,0.0,2484.10101010101,0.09297218155197658,1366.0,0.1803289473684211,197,0.18967161367126334,1,circle,True
25,0.0,2494.972081218274,0.12370739180390655,2611.0,0.14123595505617978,393,0.2282709103592193,2,LHS,False
26,0.0,2484.032608695652,0.18001525553012968,1311.0,0.13290697674418606,183,0.2355636452546078,2,LHS,False
27,0.0,2482.056856187291,0.2594664371772806,2324.0,0.19041666666666668,298,0.14276636049836033,2,LHS,True
28,0.0,2427.097435897436,0.3798319327731092,1785.0,0.2608333333333333,194,0.12616211149809609,1,LHS,True
29,0.0,2493.3888888888887,0.13426265590608952,1363.0,0.14306818181818184,197,0.22719536065706472,2,LHS,False
30,0.0,2468.6438356164385,0.2996151731720726,1819.0,0.2233333333333333,218,0.14078754717398692,1,LHS,True
31,0.0,2499.992537313433,0.12459720730397422,931.0,0.1640625,133,0.17468917335206197,2,circle,False
32,0.0,2485.9847094801225,0.1565523306948109,2274.0,0.2523170731707317,326,0.12504864140285715,2,circle,False
33,0.0,2482.416149068323,0.284375,1280.0,0.23962499999999998,160,0.12487252077619061,2,circle,True
34,0.0,2488.862068965517,0.330718954248366,2295.0,0.23428571428571426,260,0.1349909920606328,1,LHS,False
