,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage
80,2,False,250,0.1,LHS,32,2451.4940239044,0.4682835821,2680,0.2931
81,2,False,250,0.1,circle,33,2476.3545816733,0.2405900305,1966,0.3240384615
82,2,False,250,0.125,LHS,34,2477.2231075697,0.3544245759,2181,0.2157258065
83,2,False,250,0.125,circle,35,2477.4541832669,0.1868629672,1766,0.2390625
84,2,False,250,0.1666666667,LHS,36,2491.6215139442,0.2904624277,2076,0.1814634146
85,2,False,250,0.1666666667,circle,37,2489.1474103586,0.1265377856,1707,0.1902380952
86,2,False,250,0.25,LHS,38,2496.5099601594,0.1727777778,1800,0.1143548387
87,2,False,250,0.25,circle,39,2480.6892430279,0.0613915416,1466,0.106468254
88,2,False,400,0.1,LHS,40,2462.9077306733,0.4116899619,3935,0.334
89,2,False,400,0.1,circle,41,2484.9551122195,0.2465254798,3022,0.2954268293
90,2,False,400,0.125,LHS,42,2494.970074813,0.3331471656,3581,0.23865
91,2,False,400,0.125,circle,43,2478.6334164589,0.2046070461,2952,0.2333823529
92,2,False,400,0.1666666667,LHS,44,2494.7406483791,0.2465233881,3164,0.1939393939
93,2,False,400,0.1666666667,circle,45,2492.0598503741,0.1082371667,2513,0.1758208955
94,2,False,400,0.25,LHS,46,2486.3391521197,0.1231964484,2703,0.118125
95,2,False,400,0.25,circle,47,2490.6832917706,0.0556227328,2481,0.1145792079
