,run,Average_lifespan,Percentage_failed,Total_attempts,Usage,N,N_poles,Vision,Grid_positions,Grid_open
0,0.0,2484.3398692810456,0.1520823584464202,2137.0,0.13686666666666666,305,0.2480530623038957,1,LHS,False
1,0.0,2494.9615384615386,0.10987903225806452,992.0,0.1356896551724138,155,0.18659030574847751,1,circle,False
2,0.0,2485.9916201117317,0.16922438822065533,2411.0,0.2204347826086956,357,0.12840043720545188,2,circle,False
3,0.0,2493.88275862069,0.17855361596009975,2005.0,0.20010416666666667,289,0.16614461891681975,2,LHS,True
4,0.0,2479.1005586592178,0.13128729752770674,1173.0,0.17064285714285715,178,0.19470310338291064,1,circle,False
5,0.0,2462.9212598425197,0.21405049396267836,911.0,0.1485576923076923,126,0.21314740088373818,2,LHS,True
6,0.0,2462.24375,0.2609717868338558,1276.0,0.28720588235294114,159,0.10308441136706195,2,circle,True
7,0.0,2467.4195804195806,0.28159457167090757,1179.0,0.16958333333333334,142,0.17194650085662427,1,LHS,False
8,0.0,2499.996031746032,0.18368511123787792,1753.0,0.14150943396226415,251,0.21211367956541038,2,LHS,False
9,0.0,2489.683908045977,0.06768350810295519,1049.0,0.13121951219512196,173,0.2358879122017325,1,circle,True
10,0.0,2403.0798122065726,0.41102756892230574,1995.0,0.26793478260869563,212,0.11093896697248115,1,LHS,True
11,0.0,2490.524064171123,0.2480942480942481,1443.0,0.17941176470588238,186,0.18811186568402027,1,LHS,True
12,0.0,2478.705479452055,0.22636363636363635,1100.0,0.22833333333333336,145,0.11809334124957602,2,circle,True
13,0.0,2486.1798365122618,0.05650684931506849,2336.0,0.14482142857142857,366,0.22854273919283946,2,circle,False
14,0.0,2476.439114391144,0.17357105401153644,1907.0,0.12045081967213113,270,0.2287841928604662,1,LHS,False
15,0.0,2467.0153374233128,0.3872565203037306,3029.0,0.24774390243902442,325,0.12853688256302395,1,LHS,False
16,0.0,2490.764705882353,0.12588401697312587,707.0,0.1805952380952381,101,0.19863691090849933,2,circle,True
17,0.0,2450.9779411764707,0.15486725663716813,904.0,0.22411764705882356,135,0.12554368240013708,1,circle,False
18,0.0,2498.3123359580054,0.13579307721567135,2629.0,0.12591666666666665,380,0.23790041896064423,1,LHS,True
19,0.0,2448.1964285714284,0.2464,1250.0,0.22238636363636363,167,0.12681508010760714,1,circle,True
20,0.0,2477.909937888199,0.41405750798722046,3130.0,0.32507575757575763,321,0.10499894544664037,2,LHS,True
21,0.0,2494.536945812808,0.08917197452229299,1256.0,0.17557692307692307,202,0.19254960853218872,1,circle,True
22,0.0,2488.305,0.10772659732540862,1346.0,0.13833333333333334,199,0.24380560571886695,2,LHS,False
23,0.0,2496.723021582734,0.13717491075981642,1961.0,0.14863636363636362,277,0.2415228207799451,2,LHS,True
24,0.0,2436.962962962963,0.18666666666666668,750.0,0.20222222222222222,107,0.17534225669283454,2,LHS,False
25,0.0,2482.2756756756758,0.06623655913978495,2325.0,0.13443181818181818,369,0.23775300534805424,2,circle,False
26,0.0,2470.9521276595747,0.23576158940397351,1510.0,0.2826136363636364,187,0.11423219736362678,2,circle,True
27,0.0,2499.994350282486,0.1552999178307313,1217.0,0.12121951219512196,176,0.235952937857569,1,LHS,True
