,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage
0,100,1,LHS,0.1,True,0,2043.5742574257426,0.46221248630887185,913,0.25225
1,100,1,LHS,0.1,False,1,2030.960396039604,0.5914585012087027,1241,0.346
2,100,1,LHS,0.125,True,2,2340.3069306930693,0.46102021174205965,1039,0.26166666666666666
3,100,1,LHS,0.125,False,3,2122.366336633663,0.5862646566164154,1194,0.29479166666666673
4,100,1,LHS,0.16666666666666666,True,4,2381.8118811881186,0.3785557986870897,914,0.185
5,100,1,LHS,0.16666666666666666,False,5,2315.3267326732675,0.3447461629279811,847,0.18406250000000002
6,100,1,LHS,0.25,True,6,2453.2871287128714,0.17484662576687116,652,0.1184
7,100,1,LHS,0.25,False,7,2464.3960396039606,0.1897018970189702,738,0.10379999999999999
8,100,1,circle,0.1,True,8,2383.5346534653463,0.2440318302387268,754,0.3518181818181818
9,100,1,circle,0.1,False,9,2329.3861386138615,0.49482758620689654,1160,0.34045454545454545
10,100,1,circle,0.125,True,10,2406.4356435643563,0.30977620730270905,849,0.2761538461538461
11,100,1,circle,0.125,False,11,2425.7425742574255,0.28911138923654567,799,0.2930769230769231
12,100,1,circle,0.16666666666666666,True,12,2462.0,0.16041979010494753,667,0.19
13,100,1,circle,0.16666666666666666,False,13,2452.1485148514853,0.14756446991404013,698,0.18691176470588233
14,100,1,circle,0.25,True,14,2488.366336633663,0.10730253353204174,671,0.1376923076923077
15,100,1,circle,0.25,False,15,2476.70297029703,0.08517350157728706,634,0.11923076923076924
16,100,2,LHS,0.1,True,16,2165.891089108911,0.6206395348837209,1376,0.32349999999999995
17,100,2,LHS,0.1,False,17,2189.2178217821784,0.5082568807339449,1090,0.31725000000000003
18,100,2,LHS,0.125,True,18,2249.970297029703,0.4911937377690802,1022,0.24791666666666667
19,100,2,LHS,0.125,False,19,2193.5841584158416,0.38797169811320753,848,0.2339583333333333
20,100,2,LHS,0.16666666666666666,True,20,2400.6534653465346,0.2830188679245283,848,0.20921875
21,100,2,LHS,0.16666666666666666,False,21,2426.8217821782177,0.2877030162412993,862,0.22
22,100,2,LHS,0.25,True,22,2463.19801980198,0.2197070572569907,751,0.14809999999999998
23,100,2,LHS,0.25,False,23,2475.9504950495048,0.15050651230101303,691,0.10350000000000001
24,100,2,circle,0.1,True,24,2420.6831683168316,0.27515151515151515,825,0.3022727272727273
25,100,2,circle,0.1,False,25,2401.267326732673,0.49104859335038364,1173,0.3352272727272727
26,100,2,circle,0.125,True,26,2462.267326732673,0.16619718309859155,710,0.22423076923076923
27,100,2,circle,0.125,False,27,2459.237623762376,0.16376811594202897,690,0.21865384615384614
28,100,2,circle,0.16666666666666666,True,28,2488.5643564356437,0.12,675,0.19220588235294117
29,100,2,circle,0.16666666666666666,False,29,2463.5742574257424,0.15625,704,0.16205882352941176
30,100,2,circle,0.25,True,30,2484.4851485148515,0.0781010719754977,653,0.13451923076923078
31,100,2,circle,0.25,False,31,2499.990099009901,0.08321579689703808,709,0.12913461538461538
32,250,1,LHS,0.1,True,32,2426.669322709163,0.46171256129762356,2651,0.3445
33,250,1,LHS,0.1,False,33,2370.8844621513945,0.5609217171717171,3168,0.30469999999999997
34,250,1,LHS,0.125,True,34,2466.011952191235,0.3690322580645161,2325,0.24459677419354844
35,250,1,LHS,0.125,False,35,2446.1274900398407,0.4071606994171524,2402,0.25911290322580643
36,250,1,LHS,0.16666666666666666,True,36,2475.824701195219,0.27684159845931633,2077,0.21341463414634146
