,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage,Width,Height,Initial_bravery,Battery_size
0,400,0.16666666666666666,2,circle,True,0,2488.28927680798,0.09972836631742336,2577,0.18078358208955222,80,80,10,75
1,400,0.16666666666666666,2,circle,False,1,2488.3117206982542,0.11301369863013698,2628,0.19320895522388057,80,80,10,75
2,400,0.16666666666666666,2,circle,True,0,2498.573566084788,0.1443484521238301,2778,0.18988805970149253,80,80,10,75
3,400,0.16666666666666666,2,circle,False,1,2488.783042394015,0.1024653312788906,2596,0.18902985074626866,80,80,10,75
4,400,0.16666666666666666,2,circle,True,0,2494.805486284289,0.09961538461538462,2600,0.16641791044776122,80,80,10,75
5,400,0.16666666666666666,2,circle,False,1,2493.1745635910224,0.10466439135381114,2637,0.17014925373134326,80,80,10,75
6,400,0.16666666666666666,2,circle,True,0,2494.72319201995,0.10454545454545454,2640,0.19302238805970148,80,80,10,75
7,400,0.16666666666666666,2,circle,False,1,2476.2344139650872,0.11493354182955434,2558,0.20063432835820894,80,80,10,75
