,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage,Width,Height,Initial_bravery,Battery_size
0,250,0.16666666666666666,3,circle,True,0,2482.4143426294822,0.10783132530120482,1660,0.17226190476190475,80,80,10,75
1,250,0.16666666666666666,3,circle,False,1,2489.187250996016,0.1408199643493761,1683,0.1970238095238095,80,80,10,75
2,250,0.16666666666666666,4,circle,True,2,2474.0956175298807,0.12546583850931678,1610,0.17732142857142857,80,80,10,75
3,250,0.16666666666666666,4,circle,False,3,2483.5139442231075,0.1280093951849677,1703,0.19303571428571428,80,80,10,75
4,250,0.16666666666666666,3,circle,True,0,2478.9083665338644,0.14158239143367043,1681,0.1823809523809524,80,80,10,75
5,250,0.16666666666666666,3,circle,False,1,2486.4541832669324,0.15711009174311927,1744,0.19642857142857142,80,80,10,75
6,250,0.16666666666666666,4,circle,True,2,2497.836653386454,0.09847522236340533,1574,0.18154761904761907,80,80,10,75
7,250,0.16666666666666666,4,circle,False,3,2483.131474103586,0.118313404657017,1589,0.18541666666666665,80,80,10,75
8,250,0.16666666666666666,3,circle,True,0,2480.7131474103585,0.14396887159533073,1799,0.20053571428571432,80,80,10,75
9,250,0.16666666666666666,3,circle,False,1,2493.207171314741,0.1385154880187025,1711,0.1953571428571429,80,80,10,75
10,250,0.16666666666666666,4,circle,True,2,2490.641434262948,0.1504997060552616,1701,0.17654761904761904,80,80,10,75
11,250,0.16666666666666666,4,circle,False,3,2488.6772908366534,0.13872832369942195,1730,0.1775,80,80,10,75
12,250,0.16666666666666666,3,circle,True,0,2490.4462151394423,0.11042183622828784,1612,0.18970238095238093,80,80,10,75
13,250,0.16666666666666666,3,circle,False,1,2497.768924302789,0.10480887792848335,1622,0.2,80,80,10,75
14,250,0.16666666666666666,4,circle,True,2,2484.390438247012,0.14533258803801005,1789,0.1920238095238095,80,80,10,75
15,250,0.16666666666666666,4,circle,False,3,2488.2788844621514,0.15016872890888638,1778,0.1974404761904762,80,80,10,75
16,250,0.16666666666666666,3,circle,True,0,2479.139442231076,0.09956440572495333,1607,0.18095238095238098,80,80,10,75
17,250,0.16666666666666666,3,circle,False,1,2488.964143426295,0.13377324535092983,1667,0.20476190476190476,80,80,10,75
18,250,0.16666666666666666,4,circle,True,2,2492.9003984063743,0.13215339233038348,1695,0.19648809523809524,80,80,10,75
19,250,0.16666666666666666,4,circle,False,3,2494.8725099601593,0.14692218350754935,1722,0.18386904761904763,80,80,10,75
20,250,0.16666666666666666,3,circle,True,0,2493.9482071713146,0.12268518518518519,1728,0.19005952380952382,80,80,10,75
21,250,0.16666666666666666,3,circle,False,1,2486.358565737052,0.13519952352590828,1679,0.17166666666666666,80,80,10,75
22,250,0.16666666666666666,4,circle,True,2,2473.972111553785,0.12399753238741518,1621,0.21148809523809525,80,80,10,75
23,250,0.16666666666666666,4,circle,False,3,2487.03984063745,0.14631336405529954,1736,0.17750000000000005,80,80,10,75
24,250,0.16666666666666666,3,circle,True,0,2492.199203187251,0.09783989834815757,1574,0.17577380952380953,80,80,10,75
25,250,0.16666666666666666,3,circle,False,1,2497.9003984063743,0.09886159376872379,1669,0.18517857142857141,80,80,10,75
26,250,0.16666666666666666,4,circle,True,2,2488.0876494023905,0.1603563474387528,1796,0.19005952380952382,80,80,10,75
27,250,0.16666666666666666,4,circle,False,3,2490.93625498008,0.14553990610328638,1704,0.19136904761904766,80,80,10,75
28,250,0.16666666666666666,3,circle,True,0,2488.613545816733,0.15102974828375287,1748,0.1938095238095238,80,80,10,75
29,250,0.16666666666666666,3,circle,False,1,2482.0916334661356,0.0977979274611399,1544,0.17357142857142854,80,80,10,75
30,250,0.16666666666666666,4,circle,True,2,2486.139442231076,0.14311058545239502,1691,0.19940476190476195,80,80,10,75
31,250,0.16666666666666666,4,circle,False,3,2489.035856573705,0.18923157344485103,1913,0.2169642857142857,80,80,10,75
32,250,0.16666666666666666,3,circle,True,0,2487.8764940239043,0.16722408026755853,1794,0.21970238095238098,80,80,10,75
33,250,0.16666666666666666,3,circle,False,1,2492.0796812749004,0.13349368610944076,1663,0.19083333333333335,80,80,10,75
34,250,0.16666666666666666,4,circle,True,2,2482.988047808765,0.10630407911001236,1618,0.18047619047619046,80,80,10,75
35,250,0.16666666666666666,4,circle,False,3,2482.011952191235,0.10910224438902744,1604,0.1769642857142857,80,80,10,75
36,250,0.16666666666666666,3,circle,True,0,2487.239043824701,0.12270302311796087,1687,0.1868452380952381,80,80,10,75
37,250,0.16666666666666666,3,circle,False,1,2498.378486055777,0.09663608562691131,1635,0.18208333333333335,80,80,10,75
38,250,0.16666666666666666,4,circle,True,2,2495.195219123506,0.132252027448534,1603,0.18410714285714286,80,80,10,75
39,250,0.16666666666666666,4,circle,False,3,2484.97609561753,0.09757613424487259,1609,0.17672619047619048,80,80,10,75
