,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage
0,175,0.16666666666666666,2,LHS,True,0,2478.590909090909,0.25869565217391305,1380,0.16905172413793104
1,175,0.16666666666666666,2,LHS,False,1,2474.7727272727275,0.27164804469273746,1432,0.17775862068965517
2,325,0.16666666666666666,2,LHS,True,2,2490.883435582822,0.17473118279569894,2232,0.18726851851851853
3,325,0.16666666666666666,2,LHS,False,3,2497.705521472393,0.21779764323445755,2461,0.20277777777777772
4,175,0.16666666666666666,2,LHS,True,0,2476.9886363636365,0.314,1500,0.18689655172413794
5,175,0.16666666666666666,2,LHS,False,1,2461.0454545454545,0.26115107913669067,1390,0.18551724137931036
6,325,0.16666666666666666,2,LHS,True,2,2482.5920245398775,0.2672720094749309,2533,0.17638888888888887
7,325,0.16666666666666666,2,LHS,False,3,2497.2638036809817,0.250402576489533,2484,0.1774537037037037
