,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage,Width,Height,Initial_bravery,Battery_size
0,250,0.16666666666666666,3,circle,True,0,2494.6175298804783,0.13617525162818236,1689,0.18291666666666667,80,80,10,75
1,250,0.16666666666666666,3,circle,False,1,2497.1155378486055,0.11827956989247312,1674,0.20410714285714285,80,80,10,75
2,250,0.16666666666666666,4,circle,True,2,2492.03984063745,0.14134495641344957,1606,0.1724404761904762,80,80,10,75
3,250,0.16666666666666666,4,circle,False,3,2478.9243027888447,0.15599051008303677,1686,0.18803571428571428,80,80,10,75
4,250,0.16666666666666666,3,circle,True,0,2498.669322709163,0.15617848970251716,1748,0.20958333333333334,80,80,10,75
5,250,0.16666666666666666,3,circle,False,1,2493.7450199203186,0.13035819142689373,1703,0.19035714285714286,80,80,10,75
6,250,0.16666666666666666,4,circle,True,2,2481.820717131474,0.15384615384615385,1716,0.17315476190476192,80,80,10,75
7,250,0.16666666666666666,4,circle,False,3,2497.988047808765,0.1210494931425164,1677,0.18720238095238093,80,80,10,75
8,250,0.16666666666666666,3,circle,True,0,2492.840637450199,0.12121212121212122,1716,0.1839285714285714,80,80,10,75
9,250,0.16666666666666666,3,circle,False,1,2490.9003984063743,0.1191772534785239,1653,0.17333333333333334,80,80,10,75
10,250,0.16666666666666666,4,circle,True,2,2497.386454183267,0.12258454106280194,1656,0.19642857142857142,80,80,10,75
11,250,0.16666666666666666,4,circle,False,3,2479.7848605577688,0.13954905545399146,1641,0.17482142857142854,80,80,10,75
12,250,0.16666666666666666,3,circle,True,0,2483.9840637450197,0.150997150997151,1755,0.20160714285714285,80,80,10,75
13,250,0.16666666666666666,3,circle,False,1,2489.996015936255,0.15100671140939598,1788,0.19113095238095237,80,80,10,75
14,250,0.16666666666666666,4,circle,True,2,2484.93625498008,0.13161057692307693,1664,0.19761904761904764,80,80,10,75
15,250,0.16666666666666666,4,circle,False,3,2490.0199203187253,0.09921671018276762,1532,0.15880952380952382,80,80,10,75
16,250,0.16666666666666666,3,circle,True,0,2492.171314741036,0.12243629583592293,1609,0.17166666666666666,80,80,10,75
17,250,0.16666666666666666,3,circle,False,1,2488.1195219123506,0.1378687537627935,1661,0.17,80,80,10,75
18,250,0.16666666666666666,4,circle,True,2,2496.7091633466134,0.1241631162507608,1643,0.2136309523809524,80,80,10,75
19,250,0.16666666666666666,4,circle,False,3,2498.5577689243028,0.15393386545039908,1754,0.19291666666666665,80,80,10,75
