,N,N_poles,Vision,Grid_positions,Grid_open,run,Average_lifespan,Percentage_failed,Total_attempts,Usage
0,LHS,0.16666666666666666,2,False,250,0,2469.5139442231075,0.22956145100162426,1847,0.1928658536585366
1,circle,0.16666666666666666,2,False,250,1,2483.629482071713,0.122397476340694,1585,0.18726190476190477
2,LHS,0.16666666666666666,2,False,250,0,2478.0438247011953,0.24273858921161826,1928,0.19396341463414635
3,circle,0.16666666666666666,2,False,250,1,2494.637450199203,0.12372372372372373,1665,0.17738095238095236
4,LHS,0.16666666666666666,2,False,250,0,2484.800796812749,0.22974413646055436,1876,0.2003048780487805
5,circle,0.16666666666666666,2,False,250,1,2490.6972111553787,0.12941176470588237,1700,0.19273809523809526
6,LHS,0.16666666666666666,2,False,250,0,2469.9123505976095,0.23422013562858635,1917,0.18310975609756097
7,circle,0.16666666666666666,2,False,250,1,2496.175298804781,0.10627719080174021,1609,0.21041666666666667
8,LHS,0.16666666666666666,2,False,250,0,2485.4741035856573,0.14749430523917995,1756,0.18798780487804878
9,circle,0.16666666666666666,2,False,250,1,2491.211155378486,0.10789632308619651,1659,0.19321428571428573
10,LHS,0.16666666666666666,2,False,250,0,2498.231075697211,0.2720440881763527,1996,0.18445121951219512
11,circle,0.16666666666666666,2,False,250,1,2480.860557768924,0.13843556555993247,1777,0.18279761904761904
12,LHS,0.16666666666666666,2,False,250,0,2481.131474103586,0.2873915262889229,1959,0.18871951219512198
13,circle,0.16666666666666666,2,False,250,1,2492.203187250996,0.18419618528610354,1835,0.1938690476190476
14,LHS,0.16666666666666666,2,False,250,0,2489.569721115538,0.24568527918781727,1970,0.17524390243902438
15,circle,0.16666666666666666,2,False,250,1,2486.737051792829,0.17372654155495978,1865,0.21166666666666667
16,LHS,0.16666666666666666,2,False,250,0,2482.7569721115538,0.3034188034188034,2106,0.19518292682926833
17,circle,0.16666666666666666,2,False,250,1,2498.227091633466,0.11269349845201239,1615,0.20839285714285719
18,LHS,0.16666666666666666,2,False,250,0,2471.187250996016,0.2310126582278481,1896,0.20103658536585364
19,circle,0.16666666666666666,2,False,250,1,2487.764940239044,0.11358024691358025,1620,0.18625
20,LHS,0.16666666666666666,2,False,250,0,2470.390438247012,0.24926542605288932,2042,0.18621951219512195
21,circle,0.16666666666666666,2,False,250,1,2485.2549800796814,0.10516605166051661,1626,0.20535714285714285
22,LHS,0.16666666666666666,2,False,250,0,2479.195219123506,0.26313253012048193,2075,0.1979268292682927
23,circle,0.16666666666666666,2,False,250,1,2496.8486055776893,0.11428571428571428,1645,0.18684523809523806
24,LHS,0.16666666666666666,2,False,250,0,2492.227091633466,0.2219873150105708,1892,0.1821951219512195
25,circle,0.16666666666666666,2,False,250,1,2492.3266932270917,0.1125,1600,0.19398809523809527
26,LHS,0.16666666666666666,2,False,250,0,2499.996015936255,0.27268220128904314,2017,0.1900609756097561
27,circle,0.16666666666666666,2,False,250,1,2489.1075697211154,0.10912343470483005,1677,0.19791666666666666
28,LHS,0.16666666666666666,2,False,250,0,2484.99203187251,0.22530699412706887,1873,0.20341463414634145
29,circle,0.16666666666666666,2,False,250,1,2469.561752988048,0.10135533294048321,1697,0.20732142857142857
30,LHS,0.16666666666666666,2,False,250,0,2492.426294820717,0.2694965449160908,2026,0.20603658536585365
31,circle,0.16666666666666666,2,False,250,1,2494.2549800796814,0.09720534629404617,1646,0.17398809523809522
32,LHS,0.16666666666666666,2,False,250,0,2490.330677290837,0.27641462193289934,1997,0.18560975609756097
33,circle,0.16666666666666666,2,False,250,1,2480.7211155378486,0.12625963248369887,1687,0.18333333333333335
34,LHS,0.16666666666666666,2,False,250,0,2486.187250996016,0.27846229669788075,2029,0.19987804878048782
35,circle,0.16666666666666666,2,False,250,1,2485.0836653386455,0.13100177830468288,1687,0.18970238095238096
36,LHS,0.16666666666666666,2,False,250,0,2493.0517928286854,0.31066176470588236,2176,0.18945121951219512
37,circle,0.16666666666666666,2,False,250,1,2478.6972111553787,0.11327433628318584,1695,0.18089285714285716
38,LHS,0.16666666666666666,2,False,250,0,2486.5258964143427,0.25614754098360654,1952,0.17591463414634148
39,circle,0.16666666666666666,2,False,250,1,2493.5258964143427,0.11983471074380166,1694,0.19601190476190475
40,LHS,0.16666666666666666,2,False,250,0,2480.7808764940237,0.24910302409021015,1951,0.18878048780487802
41,circle,0.16666666666666666,2,False,250,1,2493.0597609561755,0.1436233611442193,1678,0.19547619047619044
42,LHS,0.16666666666666666,2,False,250,0,2470.824701195219,0.27854582693292373,1953,0.1995121951219512
43,circle,0.16666666666666666,2,False,250,1,2482.868525896414,0.09751434034416825,1569,0.19797619047619047
44,LHS,0.16666666666666666,2,False,250,0,2495.235059760956,0.24897330595482547,1948,0.19408536585365857
45,circle,0.16666666666666666,2,False,250,1,2479.864541832669,0.11071214841412327,1671,0.2114880952380952
46,LHS,0.16666666666666666,2,False,250,0,2471.824701195219,0.26255020080321284,1992,0.19573170731707318
47,circle,0.16666666666666666,2,False,250,1,2499.996015936255,0.12228915662650602,1660,0.1769047619047619
48,LHS,0.16666666666666666,2,False,250,0,2484.4541832669324,0.18764705882352942,1700,0.1549390243902439
49,circle,0.16666666666666666,2,False,250,1,2479.597609561753,0.12966150315547906,1743,0.20261904761904762
