,run,Average_lifespan,Percentage_failed,Total_attempts,Usage,N,N_poles,Vision,Grid_positions,Grid_open
0,0.0,2497.719008264463,0.1542056074766355,856.0,0.16260000000000002,120,0.20266004147543001,2,circle,True
1,0.0,2490.2982456140353,0.13075060532687652,826.0,0.1598076923076923,113,0.2297345225536579,1,circle,False
2,0.0,2431.366336633663,0.37347480106100794,1885.0,0.24192307692307694,201,0.12976677178046522,1,LHS,True
3,0.0,2485.1487341772154,0.05345911949685535,1908.0,0.12696666666666664,315,0.23716489284698467,2,circle,False
4,0.0,2489.440366972477,0.18130187854958496,2289.0,0.23147435897435897,326,0.11844592760710948,1,circle,True
5,0.0,2495.5653846153846,0.07622504537205081,1653.0,0.13900862068965517,259,0.2206891354309451,1,circle,False
6,0.0,2497.55737704918,0.0685785536159601,802.0,0.13685185185185186,121,0.22215534173181645,2,circle,True
7,0.0,2489.107744107744,0.07528029898558462,1873.0,0.1740196078431373,296,0.16907397125682527,2,circle,False
8,0.0,2482.415254237288,0.2517407605784681,1867.0,0.31074074074074076,235,0.11120990669425415,2,circle,False
9,0.0,2499.9955947136564,0.12704649639816634,1527.0,0.14130000000000004,226,0.22169409506883914,2,LHS,True
10,0.0,2490.1041009463725,0.35415236787920384,2914.0,0.27480769230769236,316,0.12646903134655463,2,LHS,False
11,0.0,2416.894230769231,0.30672748004561,877.0,0.26673076923076927,103,0.11815681195297272,1,circle,False
12,0.0,2490.9803921568628,0.2445997458703939,1574.0,0.1391666666666667,203,0.2077817605015402,2,LHS,True
13,0.0,2499.9945355191257,0.16972477064220184,1308.0,0.17661764705882352,182,0.18950811346297394,2,LHS,False
14,0.0,2359.9611650485435,0.3564245810055866,895.0,0.1411842105263158,102,0.19203404290819656,1,LHS,False
15,0.0,2494.5019157088122,0.29035250463821893,2156.0,0.20049999999999998,260,0.1549513586594132,1,LHS,True
16,0.0,2494.1736526946106,0.13068688670829617,2242.0,0.1297945205479452,333,0.2199564728654111,1,LHS,False
17,0.0,2490.170603674541,0.16046259486808817,2767.0,0.14355882352941177,380,0.22425637958422712,1,LHS,False
18,0.0,2487.153153153153,0.16883116883116883,770.0,0.10990740740740741,110,0.24614459365529828,2,LHS,False
19,0.0,2491.159836065574,0.10661764705882353,1632.0,0.14198979591836733,243,0.20059219072912182,2,circle,True
20,0.0,2487.251162790698,0.18234912394548994,1541.0,0.23175,214,0.13777843868694967,1,circle,False
21,0.0,2489.6465256797583,0.15035587188612098,2248.0,0.24654761904761902,330,0.1263696685238192,2,circle,False
22,0.0,2479.8429752066118,0.06905370843989769,782.0,0.11946428571428572,120,0.2300493773684569,2,circle,True
23,0.0,2444.3315789473686,0.3880022014309301,1817.0,0.2296153846153846,189,0.13946040005717078,1,LHS,True
24,0.0,2499.9947368421053,0.15582329317269075,1245.0,0.12273255813953488,189,0.22777828678298062,2,LHS,True
25,0.0,2492.8216783216785,0.09362662154540327,1773.0,0.14076271186440678,285,0.2037791137704244,1,circle,True
26,0.0,2487.312703583062,0.3222094361334868,2607.0,0.2483974358974359,306,0.1274548764192628,2,LHS,True
27,0.0,2489.7173252279636,0.13581833761782347,2334.0,0.15942028985507245,328,0.21333849662612756,2,LHS,False
28,0.0,2495.8259493670885,0.15287200361827227,2211.0,0.2065217391304348,315,0.14339083225117244,1,circle,True
29,0.0,2492.17880794702,0.12406203101550775,1999.0,0.18963541666666664,301,0.15837718970398093,2,circle,True
30,0.0,2485.6442953020132,0.06892778993435449,914.0,0.1271428571428571,148,0.23067762181816304,2,circle,True
31,0.0,2475.0778688524592,0.3529925731760594,2289.0,0.23871428571428574,243,0.14654405317825359,1,LHS,True
32,0.0,2491.542274052478,0.11447661469933185,2245.0,0.12208823529411764,342,0.24864032220476506,1,LHS,True
33,0.0,2428.657777777778,0.3814133591481123,2066.0,0.3225,224,0.1052579545599659,2,LHS,False
34,0.0,2493.451612903226,0.1459398069278819,1761.0,0.2275657894736842,247,0.15081138929782717,2,circle,True
35,0.0,2445.563559322034,0.3895528995130589,2259.0,0.21922413793103446,235,0.12630771047351616,1,LHS,True
36,0.0,2487.933579335793,0.19022869022869024,1924.0,0.15115384615384614,270,0.19504798100499862,1,LHS,True
37,0.0,2490.5309446254073,0.0863020572002007,1993.0,0.16906249999999998,306,0.18275039794354525,1,circle,True
38,0.0,2469.830882352941,0.3654153354632588,2504.0,0.2100735294117647,271,0.1257402735678938,2,LHS,False
39,0.0,2446.078602620087,0.42572614107883816,2410.0,0.2849038461538461,228,0.11797335286223987,1,LHS,True
40,0.0,2499.994974874372,0.1241635687732342,1345.0,0.15708333333333335,198,0.20938791109937793,2,circle,True
41,0.0,2489.7525773195875,0.19214586255259467,2139.0,0.16440909090909092,290,0.1904983282180788,1,LHS,True
42,0.0,2484.607692307692,0.05456852791878172,788.0,0.11629032258064514,129,0.2398522890264361,2,circle,False
43,0.0,2491.615606936416,0.06447124304267161,2156.0,0.1313109756097561,345,0.23561119125000218,1,circle,True
44,0.0,2488.5451263537907,0.17142857142857143,1925.0,0.14966981132075471,276,0.19446511305044223,2,LHS,False
45,0.0,2401.3821138211383,0.36968576709796674,1082.0,0.20764705882352943,122,0.14742953652702706,1,LHS,True
46,0.0,2489.2932330827066,0.19014084507042253,994.0,0.19943181818181818,132,0.16428595454949246,1,circle,False
47,0.0,2478.3205741626793,0.23550945698596706,1639.0,0.16263157894736843,208,0.18459682820427836,1,LHS,False
48,0.0,2489.034843205575,0.2327354260089686,2230.0,0.2945833333333333,286,0.1034817701328019,1,circle,True
49,0.0,2453.4825174825173,0.13496932515337423,978.0,0.21021739130434783,142,0.15916087539405038,1,circle,False
50,0.0,2492.841346153846,0.19290020093770932,1493.0,0.14175,207,0.1937426657306665,2,LHS,True
51,0.0,2498.570945945946,0.09565667011375388,1934.0,0.1834,295,0.16680747938077978,2,circle,False
52,0.0,2479.823353293413,0.34296397008837526,2942.0,0.26475,333,0.12071725611959444,2,LHS,False
53,0.0,2489.4986301369863,0.35413642960812775,3445.0,0.25849999999999995,364,0.12615191792702535,1,LHS,True
54,0.0,2491.5454545454545,0.06571187868576242,1187.0,0.14797619047619048,197,0.2106479258122377,2,circle,True
55,0.0,2463.4600938967137,0.13167795334838225,1329.0,0.11931372549019606,212,0.242918155494518,1,LHS,True
56,0.0,2487.2331288343557,0.22250104558762024,2391.0,0.16144736842105262,325,0.17728545264855228,2,LHS,True
57,0.0,2483.871794871795,0.10111317254174397,1078.0,0.12532894736842104,155,0.23882714620122109,1,circle,True
58,0.0,2490.6318181818183,0.09002770083102493,1444.0,0.14965686274509804,219,0.23057795347342996,2,circle,False
59,0.0,2492.0242424242424,0.21711568938193343,1262.0,0.1477941176470588,164,0.2083222586850787,2,LHS,True
60,0.0,2461.802752293578,0.3282801881860951,1913.0,0.2283620689655172,217,0.13547031268473883,2,LHS,False
61,0.0,2489.356923076923,0.12256267409470752,2154.0,0.1229391891891892,324,0.23043011948089318,1,LHS,True
62,0.0,2490.9353741496598,0.05311250713877784,1751.0,0.12189189189189188,293,0.249745345492915,1,circle,True
63,0.0,2468.2369668246447,0.28401663695781343,1683.0,0.3513636363636364,210,0.10475929410629459,1,circle,True
64,0.0,2476.4217252396165,0.06957846622651091,1969.0,0.15559859154929578,312,0.22607115790364238,1,circle,True
65,0.0,2461.0243902439024,0.5386875612144956,3063.0,0.22749999999999998,245,0.119108975886415,1,LHS,False
