,run,Average_lifespan,Percentage_failed,Total_attempts,Usage,N,N_poles,Vision,Grid_positions,Grid_open
0,0.0,2490.9590909090907,0.19235436893203883,1648.0,0.2257575757575758,219,0.14913896393484083,1,circle,False
1,0.0,2417.041379310345,0.3775964391691395,1348.0,0.22539473684210526,144,0.1386061319201065,1,LHS,False
2,0.0,2441.4296296296297,0.1510574018126888,993.0,0.19773809523809524,134,0.15277944241132724,1,circle,False
3,0.0,2492.103896103896,0.06842818428184282,1476.0,0.1377450980392157,230,0.2177970081372005,1,circle,True
4,0.0,2482.2059620596206,0.13974151857835218,2476.0,0.151,368,0.2063934182998704,2,LHS,True
5,0.0,2459.181102362205,0.25737538148524924,983.0,0.29716666666666663,126,0.11815014766570817,2,circle,False
6,0.0,2481.0116618075804,0.07211319032405294,2191.0,0.13516447368421053,342,0.22200770206090234,1,circle,True
7,0.0,2499.9926470588234,0.1308108108108108,925.0,0.12643939393939396,135,0.23828429408195495,2,circle,False
8,0.0,2484.0963855421687,0.2885032537960954,2766.0,0.23869565217391306,331,0.1417204596973952,1,LHS,False
9,0.0,2494.217171717172,0.15740072202166064,1385.0,0.13109374999999998,197,0.248230880182285,2,LHS,False
10,0.0,2490.8357487922704,0.10201149425287356,1392.0,0.14450000000000002,206,0.2138549023595051,1,circle,False
11,0.0,2482.2540322580644,0.22378378378378377,1850.0,0.2692857142857143,247,0.11089658263249814,1,circle,False
12,0.0,2422.910714285714,0.4944297082228117,1885.0,0.259875,167,0.12406681747792611,1,LHS,True
13,0.0,2492.7965616045844,0.1399501661129568,2408.0,0.1603169014084507,348,0.20503737970724434,2,LHS,True
14,0.0,2493.1041666666665,0.19214997070884593,1707.0,0.16816666666666666,239,0.1888941822749985,1,LHS,True
15,0.0,2482.2063492063494,0.07766990291262135,1236.0,0.17201388888888886,188,0.18978187607715735,1,circle,True
16,0.0,2410.169934640523,0.2386655260906758,1169.0,0.1610714285714286,152,0.1895043915071774,1,LHS,False
17,0.0,2420.425925925926,0.25080128205128205,1248.0,0.17163793103448277,161,0.18077823745686933,1,LHS,True
18,0.0,2494.642105263158,0.10671525247267048,1921.0,0.175,284,0.1813655403979991,1,circle,True
19,0.0,2468.6496815286623,0.17591721542803387,1063.0,0.15916666666666668,156,0.2120863665681597,1,LHS,True
20,0.0,2357.3829787234044,0.48090169067000627,1597.0,0.3313333333333333,140,0.11283570452161246,2,LHS,False
21,0.0,2461.4545454545455,0.21689259645464026,959.0,0.1308653846153846,131,0.20418960430326893,1,LHS,True
22,0.0,2468.7441860465115,0.24403341288782815,1676.0,0.17825,214,0.18713610410817647,1,LHS,False
23,0.0,2298.8297872340427,0.5476896990250106,2359.0,0.33527777777777784,187,0.10151643406790085,1,LHS,False
24,0.0,2481.7238372093025,0.09825815096025012,2239.0,0.14927631578947373,343,0.22114529267272115,1,circle,True
25,0.0,2471.81568627451,0.4421287681429103,2687.0,0.27669642857142857,254,0.1121288152107963,1,LHS,True
26,0.0,2496.8477157360408,0.14901129943502825,1416.0,0.16309210526315787,196,0.19775809197222205,2,LHS,True
27,0.0,2483.206008583691,0.14033983637507866,1589.0,0.15785714285714286,232,0.2134392189633658,1,LHS,True
28,0.0,2492.792,0.11476091476091477,2405.0,0.15178571428571427,374,0.20725096406399007,2,LHS,False
29,0.0,2481.298591549296,0.4204805491990847,3496.0,0.3027142857142857,354,0.10009201921380362,2,LHS,True
30,0.0,2406.7380952380954,0.3682342502218279,1127.0,0.21088235294117647,125,0.13970930151971053,2,LHS,False
31,0.0,2486.690265486726,0.18351910828025478,2512.0,0.280625,338,0.11583067339832087,1,circle,True
32,0.0,2483.0923694779117,0.2937937937937938,1998.0,0.21953947368421056,248,0.15507298457630772,2,LHS,True
33,0.0,2448.5607476635514,0.2359952324195471,839.0,0.15999999999999998,106,0.21460130983547734,1,LHS,True
34,0.0,2498.5482758620687,0.12221095334685599,1972.0,0.1323550724637681,289,0.24016489249554318,1,LHS,True
35,0.0,2485.3333333333335,0.17358490566037735,1060.0,0.20663461538461536,152,0.1661417238521271,1,circle,True
36,0.0,2456.967320261438,0.3013698630136986,1241.0,0.1962,152,0.16508047529587339,2,LHS,True
37,0.0,2481.442857142857,0.18163672654690619,1002.0,0.2217857142857143,139,0.14756145578168756,2,circle,True
38,0.0,2495.4826589595377,0.10514738231412231,2273.0,0.19031818181818183,345,0.15705273304140915,2,circle,True
39,0.0,2498.045751633987,0.1950354609929078,2256.0,0.1781363636363637,305,0.18100343308921024,1,LHS,True
40,0.0,2477.45390070922,0.12396694214876033,968.0,0.1479166666666667,140,0.21790518032493075,1,LHS,False
41,0.0,2486.0708661417325,0.16323119777158773,1795.0,0.14625,253,0.19913921621210118,2,LHS,False
42,0.0,2479.926086956522,0.09661495063469676,1418.0,0.15829268292682927,229,0.1762744049166859,2,circle,False
43,0.0,2498.211320754717,0.16976127320954906,1885.0,0.1466346153846154,264,0.20062361866032757,1,LHS,True
44,0.0,2488.438775510204,0.19264069264069264,1386.0,0.13644736842105262,195,0.19582016574878275,2,LHS,False
45,0.0,2497.7410358565735,0.0778816199376947,1605.0,0.20133333333333334,250,0.1762683706213508,2,circle,False
46,0.0,2487.4267515923566,0.13767441860465116,2150.0,0.19818627450980392,313,0.15976657048479684,1,circle,False
47,0.0,2487.6742424242425,0.16526315789473683,950.0,0.1568,131,0.19567309041982162,2,LHS,True
48,0.0,2476.7426470588234,0.10404624277456648,865.0,0.18010416666666665,135,0.17773488036130256,1,circle,True
49,0.0,2475.6339869281046,0.14947965941343425,1057.0,0.19151785714285716,152,0.17999417639768805,2,circle,True
50,0.0,2493.1774647887323,0.28641285365001745,2863.0,0.19078947368421056,354,0.16324632383866117,1,LHS,True
51,0.0,2488.4690026954177,0.05351027397260274,2336.0,0.15063953488372092,370,0.23229415340270834,1,circle,True
52,0.0,2443.2808988764045,0.4169435215946844,1806.0,0.22480769230769232,177,0.15083057484197612,1,LHS,False
53,0.0,2445.528455284553,0.39602248162559445,2313.0,0.22624999999999995,245,0.1262312524739773,1,LHS,True
54,0.0,2471.0857142857144,0.3216842105263158,2375.0,0.22596153846153846,279,0.13981200829231152,1,LHS,True
55,0.0,2489.736,0.0929778933680104,1538.0,0.17714285714285713,249,0.1946523175040959,2,circle,True
56,0.0,2482.373134328358,0.11192930780559647,1358.0,0.14982954545454547,200,0.21553269001059794,1,circle,False
57,0.0,2491.4054054054054,0.08952496954933009,1642.0,0.14173728813559322,258,0.22840813554053743,2,circle,False
58,0.0,2491.0207100591715,0.22378955394586353,2623.0,0.2780769230769231,337,0.11538969970934906,2,circle,True
59,0.0,2376.3481012658226,0.42977893368010406,1538.0,0.25987499999999997,157,0.12854386065743276,1,LHS,True
60,0.0,2207.8740157480315,0.5147392290249433,1323.0,0.27291666666666664,126,0.10026773202798342,1,LHS,True
61,0.0,2490.7914285714287,0.16869424168694241,2466.0,0.22692307692307698,349,0.1480445690973053,1,circle,False
62,0.0,2412.6260869565217,0.346718903036239,1021.0,0.31708333333333333,114,0.1008194735554371,1,circle,True
63,0.0,2485.3385826771655,0.17770419426048564,2718.0,0.17347014925373133,380,0.17647416306560815,2,LHS,True
64,0.0,2499.9931506849316,0.11597374179431072,914.0,0.16796296296296298,145,0.18094580891552048,2,circle,True
65,0.0,2490.439393939394,0.13618507202095154,2291.0,0.20855769230769228,329,0.15535313823658825,1,circle,False
66,0.0,2491.8194444444443,0.170117742590337,2463.0,0.2565217391304348,359,0.12608643518021434,2,circle,False
67,0.0,2486.5489130434785,0.24070732587513533,2771.0,0.19530701754385962,367,0.15684248390000982,2,LHS,False
68,0.0,2495.751937984496,0.30363805970149255,2144.0,0.22772058823529412,257,0.13430860743925677,2,LHS,True
69,0.0,2492.3520408163267,0.07206119162640902,2484.0,0.1495253164556962,391,0.2013786489400724,1,circle,True
70,0.0,2499.996,0.0663850331925166,1657.0,0.12710317460317458,249,0.2497784346975799,1,circle,True
71,0.0,2473.6854304635763,0.1647811116576488,2033.0,0.242972972972973,301,0.1205213750958578,2,circle,True
72,0.0,2494.0397350993376,0.08183738120380148,1894.0,0.14934615384615388,301,0.2157020008423936,1,circle,True
73,0.0,2483.778947368421,0.18153526970954356,2892.0,0.26290816326530614,379,0.1279987495150464,1,circle,False
74,0.0,2476.096256684492,0.1664179104477612,1340.0,0.18741935483870967,186,0.17052844035903325,2,LHS,True
75,0.0,2488.9559748427673,0.15430954587581094,2158.0,0.15970338983050844,317,0.18642608326914217,1,LHS,False
76,0.0,2474.7203166226914,0.3048549810844893,3172.0,0.22983695652173916,378,0.12196789417377349,2,LHS,False
77,0.0,2482.2788844621514,0.3627984918307499,2387.0,0.24477272727272723,250,0.13354097431274978,2,LHS,False
