,run,Average_lifespan,Percentage_failed,Total_attempts,Usage,N,N_poles,Vision,Grid_positions,Grid_open
0,0.0,2487.63025210084,0.13611229264142918,2351.0,0.12285256410256412,356,0.22037340056249208,2,LHS,False
1,0.0,2486.5045045045044,0.17030028794734678,2431.0,0.27593023255813953,332,0.12912242054767936,1,circle,True
2,0.0,2490.0075471698115,0.23602794411177644,2004.0,0.18305555555555553,264,0.17418314129724904,2,LHS,True
3,0.0,2470.9294871794873,0.15543071161048688,1068.0,0.11875000000000001,155,0.23801651306336513,1,LHS,False
4,0.0,2491.930894308943,0.10224438902743142,1604.0,0.18643749999999998,245,0.16037442510817868,2,circle,True
5,0.0,2480.558510638298,0.15390279823269515,1358.0,0.19830645161290322,187,0.16129441371465217,1,circle,False
6,0.0,2363.4453125,0.3783303730017762,1126.0,0.27583333333333326,127,0.12444988065925593,2,LHS,False
7,0.0,2484.183856502242,0.20908004778972522,1674.0,0.17467948717948717,222,0.17608876311978297,1,LHS,True
8,0.0,2467.484375,0.14270032930845225,911.0,0.20475000000000004,127,0.14972663439832154,1,circle,False
9,0.0,2496.6019417475727,0.17515701325889743,1433.0,0.16531250000000003,205,0.1969286613461907,2,LHS,False
10,0.0,2481.9879032258063,0.05930087390761548,1602.0,0.13857142857142857,247,0.22283529186123463,1,circle,True
11,0.0,2494.8467532467535,0.16329532916513423,2719.0,0.13572784810126584,384,0.20670054197533172,1,LHS,True
12,0.0,2466.656462585034,0.5093348891481914,3428.0,0.27588709677419354,293,0.10610591514789877,1,LHS,True
13,0.0,2488.4971098265896,0.12098991750687443,1091.0,0.16266129032258067,172,0.17689943770034755,1,circle,False
14,0.0,2474.8478260869565,0.3174186778593914,1906.0,0.22734375,229,0.13986286481321633,1,LHS,True
15,0.0,2485.468926553672,0.06266786034019696,1117.0,0.1344047619047619,176,0.23751416420945348,1,circle,True
16,0.0,2497.3900709219856,0.10212765957446808,940.0,0.14806451612903226,140,0.214464523741695,2,circle,False
17,0.0,2499.996527777778,0.11151452282157677,1928.0,0.11799999999999997,287,0.24682036293216925,2,LHS,True
18,0.0,2490.235099337748,0.07274590163934426,1952.0,0.13317567567567565,301,0.24358683435450101,1,circle,False
19,0.0,2495.2950819672133,0.12043561819346572,1561.0,0.16874999999999998,243,0.14610208598431418,2,circle,True
